token,fullname,symbol,coingecko_id
FXHASH,fxhash,FXHASH,
KOKOK,KoKoK The Roach,KOKOK,kokok-the-roach
SO,Soul Labs,SOUL,
ASET,AssetLink,ASET,assetlink
WAYFINDER,Wayfinder,PROMPT,wayfinder
NILLION,Nillion,NIL,nillion
WAL,Walrus,WAL,walrus-2
CHEEMS,Cheems Token,CHEEMS,cheems-token
TRUMPOFFICIALTRUMP,Official Trump,TRUMP,official-trump
DAOSFUN,daos.fun,DAOSFUN,
SHATTERLINE,Shatterline FPS,SHATTERLINE,
INJ,Injective,INJ,injective-protocol
SPDR,SpiderSwap,SPDR,spiderswap
SNM,SONM (BEP-20),SNM,sonm
TKO,Toko Token,TKO,tokocrypto
ARPA,ARPA Chain,ARPA,arpa
MFT,Hifi Finance,MFT,hifi-finance
SUN,Sun (New),SUN,sun-token
STPT,Standard Tokenization Protocol,STPT,stp-network
TTT,The Transfer Token,TTT,
RNDR,Render Token,RNDR,render-token
SXP,Swipe Token,SWIPE,swipe
SUSD,sUSD,SUSD,nusd
IOST,IOST,IOST,iostoken
CRV,Curve DAO Token,CRV,curve-dao-token
USDN,Neutrino USD,USDN,
BUSD,Binance USD,BUSD,binance-usd
RATS,Rats (Ordinals),RATS,rats
VANRY,Vanar,VANRY,vanar-chain
CUSDC,Compound USD Coin,CUSDC,compound-usd-coin
VCNT,ViciNFT,VCNT,vicicoin
REAL,Realy Metaverse,REAL,realy-metaverse
$MICHI,MichiCoin,$MICHI,michicoin
PLS,PlutusDAO,PLS,plutusdao
ENA,Ethena,ENA,ethena
MNT,Mantle,MNT,mantle
ARB,Arbitrum,ARB,arbitrum
AAVE,Aave,AAVE,aave
FET,Fetch.ai,FET,fetch-ai
stETH,Lido Staked ETH,stETH,staked-ether
ICP,Internet Computer,ICP,internet-computer
UNI,Uniswap,UNI,uniswap
STX,Stacks,STX,blockstack
OKB,OKB,OKB,okb
USDT,Tether,USDT,tether
XLM,Stellar,XLM,stellar
DOGE,Dogecoin,DOGE,dogecoin
LTC,Litecoin,LTC,litecoin
PEPE,Pepe,PEPE,pepe
WBT,WhiteBIT,WBT,whitebit
ORDINALSWALLET,Ordinals Wallet,ORDIWALLET,
GYFI,Gyroscope,GYFI,
CITYDAO,City DAO,CITYDAO,
SUPERPOSITION,Superposition,SPO,
MEDALLION,Medallion,MEDALLION,
LINENEXT,LINE NEXT,LINENEXT,
NEXON,EraLend,ERALEND,
LYVE,Lyve Finance,LYVE,lyve-finance
DEBANK,DeBank,DEBANK,
CHAINEDGE,ChainEdge,CHAINEDGE,
SELFCHAIN,Self Chain,SELFCHAIN,
CELL,CellMates,CELL,cellmates
POTATO,PotatoSwap,POTATO,
INTMAX,Intmax,INTMAX,
TABLELAND,Tableland,TABLELAND,
D1,District One,D1,
CUBE,Cube Exchange,CUBE,
UXUY,UXUY,UXUY,
MORPHOLABS,Morpho Labs,MORPHOLABS,
SUCCINCT,Succinct,SUCCINCT,
AGC,Argocoin,AGC,argocoin
CTG,Crypto: The Game,CTG,
XLAYER,X Layer,XLAYER,
HYPERSPACE,Hyperspace,HYPERSPACE,
HINKAL,Hinkal,HINKAL,
SKYMAVIS,Sky Mavis,SKYMAVIS,
DAPDAP,DapDap,DAPDAP,
CARTRIDGE,Cartridge,CARTRIDGE,
THEBLOCK,The Block,THEBLOCK,
MOONVEIL,Moonveil,MOONVEIL,
ASTRARK,AstrArk,ASTRARK,
PRIMEV,Primev,PRIMEV,
UNION,Union,UNION,
IGNITE,Ignite Tournaments,IGNITE,
COMM,Comm,COMM,
CURIO,Curio NFT,CURIO,
HALOFI,Halofi,HALOFI,
SPIN,Spin,SPIN,
OWNERSHIP,Ownership Labs,OWNERSHIP,
